TEAM,YEAR,Total Payroll,Payroll (adj),Win %,,TEAM,YEAR,Total Payroll,Payroll (adj),Win %
 ATH,2025,"$78,384,241 ",0.444,0.469,, HOU,2024,"$253,606,601 ",1.016,0.588
 MIA,2025,"$67,794,627 ",0.384,0.488,, ATL,2024,"$253,560,025 ",1.015,0.471
,,,,,, SEA,2024,"$253,363,041 ",1.015,0.588
,,,,,, MIN,2024,"$252,563,267 ",1.011,0.824
,,,,,, DEN,2024,"$252,139,493 ",1.010,0.588
,,,,,, JAX,2024,"$252,087,967 ",1.009,0.235
,,,,,, BAL,2024,"$251,869,610 ",1.009,0.706
,,,,,, GB,2024,"$251,586,978 ",1.007,0.647
,,,,,, PHI,2024,"$250,867,000 ",1.005,0.824
,,,,,, IND,2024,"$250,316,091 ",1.002,0.471
,,,,,, KC,2024,"$250,025,386 ",1.001,0.882
,,,,,, CLE,2024,"$248,708,856 ",0.996,0.176
,,,,,, PIT,2024,"$247,812,491 ",0.992,0.588
,,,,,, SF,2024,"$246,996,749 ",0.989,0.353
,,,,,, TEN,2024,"$245,174,700 ",0.982,0.176
,,,,,, TB,2024,"$244,479,945 ",0.979,0.588
,,,,,, WAS,2024,"$240,632,456 ",0.964,0.706
,,,,,, DAL,2024,"$240,414,997 ",0.963,0.412
,,,,,, MIA,2024,"$238,318,281 ",0.954,0.471
,,,,,, DET,2024,"$234,434,840 ",0.939,0.882
,,,,,, NE,2024,"$229,603,859 ",0.919,0.235
,,,,,, LV,2024,"$226,100,229 ",0.905,0.235
